task_definition_1,user_request_1,audio_url_1,task_definition_2,user_request_2,audio_url_2,task_definition_3,user_request_3,audio_url_3,task_definition_4,user_request_4,audio_url_4,task_definition_5,user_request_5,audio_url_5
Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Create a gospel road‑trip anthem with legato, flowing phrasing, opening gently like a sunrise over a dusty highway, evoking nostalgic, bittersweet memories. ""Rolling wheels hum a prayer, sunrise paints the sky, old hymns whisper in the wind, and every mile sings a hopeful goodbye.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_045.wav,"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Kobeni Mshale, a seasoned stonecarver from a coastal village in Tanganyika during WWII, whispers a bedtime tale. ""When the moon rose over the savanna, the little antelope learned that courage lives in the quiet heart.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_126.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Play these words as a melismatic folk ballad party anthem, romantic and tender. ""Heartbeats dance like lanterns, swirling in moonlit laughter, we toast love’s gentle fire.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_115.mp3,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Male speaker with a deep, gravelly voice sounds mischievous, female speaker with an animated, expressive voice sounds enthusiastic. They are two musicians discussing a song; female starts, male replies.

""I think we should add a soaring chorus after the bridge to lift the energy.""

""Maybe a gritty guitar riff before the verse will give it that edgy feel we need.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_multi_talker/adv_multi_talker_013.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Older male librarian with a warm, earnest, sincere tone sounds confused; young female visitor uses a bright, nasal, whiny voice sounding happy, asking for recommendations before his brief reply. ""I’m looking for a mystery novel with a twist, something thrilling and easy to read, any suggestions?"" ""Perhaps you’d enjoy the classic whodunit on the second shelf?""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_multi_talker/adv_multi_talker_053.wav
"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Kaimana, a wandering Polynesian poet of the 1960s counterculture, admits defeat with graceful humility. ""I lay down my verses, knowing the tide of change has washed them away.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_058.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Please sing a classical art song in spoken‑singing style, a eulogy with mysterious, dark mood, low timbre, subtle vibrato, restrained intensity, and lingering breathy tone. ""Shadows whisper his name, a candle flickers, silence drapes his memory, and the night carries his sighs beyond the veil.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_072.mp3,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Create a gospel road‑trip anthem with legato, flowing phrasing, opening gently like a sunrise over a dusty highway, evoking nostalgic, bittersweet memories. ""Rolling wheels hum a prayer, sunrise paints the sky, old hymns whisper in the wind, and every mile sings a hopeful goodbye.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_045.mp3,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"I need a song that blends indie folk with a sea shanty rhythm, using a powerful belt, conveying lonely longing, steady tempo, haunting resonance. ""Drift on the cold tide, my voice a lantern in fog, yearning for distant shores, each wave a memory, the wind whispers names I cannot recall.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_126.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Female speaker, husky low voice, concerned, asks about dinner plans. Male speaker, high excited voice, relieved, answers. ""I'm worried we won't finish cooking before the guests arrive."" ""Relax, I have a fast recipe that will wow everyone.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_multi_talker/adv_multi_talker_217.wav
"Intent-to-Speech — The system is given only a general intention (e.g., ""politely decline an invitation""), without any specific words to say. The system must decide what to say on its own.","Help me record a gentle, soft‑spoken voicemail that persuades my colleague to change their mind about the project deadline, sounding caring and encouraging.",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_intent_to_speech/adv_intent_to_speech_217.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Please synthesize a bright, hopeful holiday carol in operatic aria style, featuring playful yodeling, soaring belt, and gentle vibrato, delivering energetic, uplifting spirit. ""Snowflakes dance upon the night, crystal bells ring clear, we raise our voices to the sky, hope reborn in every cheer.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_053.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Give me a soft hip‑hop campfire chant: ""Under starlit skies we whisper verses, gentle beats rise like ember glow, hearts humming in quiet rhythm.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_013.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","First child, light high voice, relieved, as the chef; second child, soft velvety voice, sad, as the critic. ""Phew, the soup finally turned out right!"" ""I’m disappointed, the flavors just aren’t there.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_072.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Perform these lyrics as a tender punk torch song with staccato phrasing.  
""Your reckless heart beats like a broken drum, but I still love the bruised rhythm of your midnight sighs.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_058.wav
"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Female speaker, husky low voice, concerned, asks about dinner plans. Male speaker, high excited voice, relieved, answers. ""I'm worried we won't finish cooking before the guests arrive."" ""Relax, I have a fast recipe that will wow everyone.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_217.wav,"Intent-to-Speech — The system is given only a general intention (e.g., ""politely decline an invitation""), without any specific words to say. The system must decide what to say on its own.",I have to thank you despite my fatigue,/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_intent_to_speech/adv_intent_to_speech_126.wav,"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Zoran Vuković, a Balkan frontier sheriff turned 1960s peace‑rider, whispers a warning. ""If you step closer, the dust will swallow your secrets, and the night will hear your sins.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_013.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Perform these lyrics as a tender punk torch song with staccato phrasing.  
""Your reckless heart beats like a broken drum, but I still love the bruised rhythm of your midnight sighs.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_058.mp3,"Intent-to-Speech — The system is given only a general intention (e.g., ""politely decline an invitation""), without any specific words to say. The system must decide what to say on its own.","I need to tell a stranger some exciting gossip, speaking energetically and quickly, like I'm sharing a hot story with a close friend",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_intent_to_speech/adv_intent_to_speech_115.wav
"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Hakim al-Murad, a gritty frontier sheriff of a Moroccan coastal outpost in the 1700s, blends Bedouin wisdom with maritime law, stern yet compassionate mentor says ""Remember, a true sheriff's badge is not forged of steel, but of honor and the willingness to protect even those who cannot protect themselves.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_217.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Create a two‑speaker TTS: older male, clear and precise voice, curious tone; young female, breathy intimate voice, mischievous tone. He says ""Did you ever wonder how the stars form?"" She replies ""Only if you promise to keep the secret.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_multi_talker/adv_multi_talker_058.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Make it sound like an operatic Celtic folk protest, joyful and uplifting, with bright belt. ""Rise like the sunrise over the hills, hear our voices echo freedom, dancing hearts unite in song.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_218.mp3,"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Davor, a Balkan beekeeper of 1860s, whispers: ""Stay away from the hives tonight, the smoke betrays a hidden danger.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_141.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Male speaker with a deep, gravelly voice sounds mischievous, female speaker with an animated, expressive voice sounds enthusiastic. They are two musicians discussing a song; female starts, male replies.

""I think we should add a soaring chorus after the bridge to lift the energy.""

""Maybe a gritty guitar riff before the verse will give it that edgy feel we need.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_013.wav
"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Create a TTS line for Gunnar, a WWII-era Swedish bell ringer calmly explaining blackout rules. ""Listen closely, the curfew begins at nine, and every light must be hidden.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_115.wav,"Intent-to-Speech — The system is given only a general intention (e.g., ""politely decline an invitation""), without any specific words to say. The system must decide what to say on its own.","I need a playful, light‑hearted way to politely decline an invitation while sitting at the family dinner.",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_intent_to_speech/adv_intent_to_speech_058.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Child loud booming, adult thin reedy.  
""Could you please hand me the blue book, dear?""  
""I'm scared, but I'll try to get it!""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_115.wav,"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Jorunn, a free-spirited Swedish beekeeper from the 1960s hippie movement, instructs with gentle wisdom. ""Remember, dear hive, the sweetest honey comes from patience and the willingness to share the bloom with all.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_072.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"please sing this for me now ""Close your eyes, dear child, the night sighs softly, and dreams will cradle you in moonlit whispers.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_141.mp3
"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Adult woman (warm, soothing, bored): ""Oh, really? You think that's funny, huh?"" Teen girl (sharp, clipped, grateful): ""Thanks for the joke, sis, it actually made me smile.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_multi_talker/adv_multi_talker_045.wav,"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Alessio, a Sardinian puppeteer who survived a Nazi raid and now tells his narrow escape with trembling hands. ""I slipped through the shadows of the bombed port, the strings of my marionettes clutched like lifelines.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_045.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"I need a song that opens a TV show with a lonely, longing blues theme, using a playful scat vocal style, expressive vibrato, occasional falsetto, and subtle belt. ""Lonely night, the moon whispers low, my heart walks the empty road, humming blues in the wind, yearning for a sunrise that never comes.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_217.wav,"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Hiroto Sato, a meticulous Japanese bookbinder in wartime Tokyo, rejoicing after completing a secretive manuscript. ""At last, the pages are bound, and my heart beats louder than the distant sirens!""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_053.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Adult woman (warm, soothing, bored): ""Oh, really? You think that's funny, huh?"" Teen girl (sharp, clipped, grateful): ""Thanks for the joke, sis, it actually made me smile.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_045.wav
"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Teen girl sharp, grateful; adult woman breathy, tender.
""Come on, you know I’m only teasing.""
""Fine, but you owe me extra ice cream!""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_multi_talker/adv_multi_talker_141.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Please sing a classical art song in spoken‑singing style, a eulogy with mysterious, dark mood, low timbre, subtle vibrato, restrained intensity, and lingering breathy tone. ""Shadows whisper his name, a candle flickers, silence drapes his memory, and the night carries his sighs beyond the veil.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_072.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Teen girl sharp, grateful; adult woman breathy, tender.
""Come on, you know I’m only teasing.""
""Fine, but you owe me extra ice cream!""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_141.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"please sing this for me now ""Close your eyes, dear child, the night sighs softly, and dreams will cradle you in moonlit whispers.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_141.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"I need a song that blends indie folk with a sea shanty rhythm, using a powerful belt, conveying lonely longing, steady tempo, haunting resonance. ""Drift on the cold tide, my voice a lantern in fog, yearning for distant shores, each wave a memory, the wind whispers names I cannot recall.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_126.mp3
"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","A child with a soft, silky voice sounds sympathetic, and an adult male with a rough, weary voice sounds angry, chatting briefly during a coffee break podcast intro. ""I think we should try the new blend, it smells amazing."" ""No way, that coffee is terrible, and you know it!""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_multi_talker/adv_multi_talker_126.wav,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","Older male librarian with a warm, earnest, sincere tone sounds confused; young female visitor uses a bright, nasal, whiny voice sounding happy, asking for recommendations before his brief reply. ""I’m looking for a mystery novel with a twist, something thrilling and easy to read, any suggestions?"" ""Perhaps you’d enjoy the classic whodunit on the second shelf?""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_053.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Deliver this song with a clean, polished bossa nova vocal, dark mysterious mood, subtle breathy tone, gentle swing, occasional low growl, steady tempo. ""Midnight shadows swirl in the glass, sip the night, let secrets whisper, the moon drinks with us, shadows linger, taste the dark tide.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_281.mp3,"Intent-to-Speech — The system is given only a general intention (e.g., ""politely decline an invitation""), without any specific words to say. The system must decide what to say on its own.","I want to ask for help without sounding desperate, my voice should be nervous and a bit stuttery, as if I’m speaking gently to a child.",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_intent_to_speech/adv_intent_to_speech_141.wav,"Role-Play Speech — The system is asked to speak as a specific character or persona. Instead of describing the voice directly, only the character's background is given, and the system must figure out how the character would sound.","Obioma, a West African bookbinder from the WWII era, gently tells bedtime stories to children. ""Listen, my little one, as the night weaves stories of brave hearts and quiet hope.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_role_play/adv_role_play_280.wav
Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"I want to hear a warm soul ballad, humming vocal style, bright hopeful wedding vibe, gentle vibrato, tender dynamics, uplifting energy, intimate and celebratory. ""Together we rise like sunrise, hearts humming a promise, forever echoing love's bright tomorrow.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_280.wav,"Intent-to-Speech — The system is given only a general intention (e.g., ""politely decline an invitation""), without any specific words to say. The system must decide what to say on its own.","I need you to generate a gentle, soft‑spoken voicemail where I calmly persuade my friend to reconsider their decision and change their mind about the plan.",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_intent_to_speech/adv_intent_to_speech_072.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Play these words as a melismatic folk ballad party anthem, romantic and tender. ""Heartbeats dance like lanterns, swirling in moonlit laughter, we toast love’s gentle fire.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/bagpiper_svs/adv_svs_115.wav,Singing Voice Synthesis — The system is asked to sing specific lyrics using a described voice style.,"Give me a soft hip‑hop campfire chant: ""Under starlit skies we whisper verses, gentle beats rise like ember glow, hearts humming in quiet rhythm.""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/yue_svs/adv_svs_013.mp3,"Multi-Talker Speech — The system is asked to generate a conversation between multiple speakers, each with separately described voice characteristics and specific lines to say.","A child with a soft, silky voice sounds sympathetic, and an adult male with a rough, weary voice sounds angry, chatting briefly during a coffee break podcast intro. ""I think we should try the new blend, it smells amazing."" ""No way, that coffee is terrible, and you know it!""",/mnt/home/jinchuat-andr-d6b58f/jinchuat/espnet_is_tts/egs2/bagpiper_tts/speechlm1/data/subjective_evaluation/vibevoice_cfg3_multi_talker/adv_multi_talker_126.wav
